Policy_Sequence,,Q,Tp,Tnp,p,W1,W2,arrival_rate,gamma,Policy_Type,Switch_Index,Full Policy,,,,Tnp,p,Lambda,T,W1,Gamma,,,,,,Tp,Tnp,p,W1,W2,arrival_rate,gamma,,,Tnp,p,Lambda,T,W1,Gamma
"[0, 2, 2, 2, 2, 2]",30.10.1110,5,1,3,0.1,1,1,0.1,0.01,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,1,3,0.1,1,1,0.1,0.01,,,3,0.1,0.1,1,1,0.01
"[0, 2, 2, 2, 2, 2]",30.10.1110.1,5,1,3,0.1,1,1,0.1,0.118888889,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,"A2&TRUNC(B2,1)&TRUNC(C2,1)&D2&E2&TRUNC(F2,1)","VLOOKUP(R2,policy_sequences_by_comb_enriched.csv!$B:$O,14,0)","IF(S2=Q2,1,0)",,,6,0.188888889,112,,0.225,0.118888889,,,6,0.188888889,0.225,,112,0.118888889
"[0, 2, 2, 2, 2, 2]",30.10.1110.2,5,1,3,0.1,1,1,0.1,0.227777778,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,9,0.277777778,223,,0.35,0.227777778,,,,0.277777778,0.35,,223,0.227777778
"[0, 2, 2, 2, 2, 2]",30.10.1110.3,5,1,3,0.1,1,1,0.1,0.336666667,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,12,0.366666667,334,,0.475,0.336666667,,,,0.366666667,0.475,,334,0.336666667
"[0, 2, 2, 2, 2, 2]",30.10.1110.4,5,1,3,0.1,1,1,0.1,0.445555556,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,15,0.455555556,445,,0.6,0.445555556,,,,0.455555556,0.6,,445,0.445555556
"[0, 2, 2, 2, 2, 2]",30.10.1110.5,5,1,3,0.1,1,1,0.1,0.554444444,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,0.544444444,556,,,0.554444444,,,,0.544444444,,,556,0.554444444
"[0, 2, 2, 2, 2, 2]",30.10.1110.6,5,1,3,0.1,1,1,0.1,0.663333333,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,0.633333333,667,,,0.663333333,,,,0.633333333,,,667,0.663333333
"[0, 2, 2, 2, 2, 2]",30.10.1110.7,5,1,3,0.1,1,1,0.1,0.772222222,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,0.722222222,778,,,0.772222222,,,,0.722222222,,,778,0.772222222
"[0, 2, 2, 2, 2, 2]",30.10.1110.8,5,1,3,0.1,1,1,0.1,0.881111111,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,0.811111111,889,,,0.881111111,,,,0.811111111,,,889,0.881111111
"[0, 2, 2, 2, 2, 2]",30.10.1110.9,5,1,3,0.1,1,1,0.1,0.99,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,0.9,1000,,,0.99,,,,0.9,,,1000,0.99
